fips,pop_2015
39141,77068
39143,59454
39145,76805
39147,55569
39149,48967
39151,374719
39153,541270
39155,203336
39157,92673
39159,54254
39161,28289
39163,13082
39165,223735
39167,60952
39169,116055
39171,36997
39173,129183
39175,22156
40001,22109
40003,5901
40005,13875
40007,5435
40009,23563
40011,9739
40013,44971
40015,29418
40017,133118
40019,48500
40021,48312
40023,14983
40025,2202
40027,273549
40029,5592
40031,123487
40033,5993
40035,14708
40037,70717
40039,29418
40041,41632
40043,4961
40045,4215
40047,63163
40049,27888
40051,54581
40053,4483
40055,6029
40057,2758
40059,3842
40061,12694
40063,13574
40065,25404
40067,6265
40069,10968
40071,45282
40073,15553
40075,9103
40077,10599
40079,49766
40081,34930
40083,45334
40085,9794
40087,37963
40089,33074
40091,19808
40093,7745
40095,16254
40097,40878
40099,13835
40101,69317
40103,11526
40105,10504
40107,12103
40109,776643
40111,39075
40113,47330
40115,31805
40117,16442
40119,80726
40121,44701
40123,38331
40125,71460
40127,11142
40129,3774
40131,90049
40133,25394
40135,41363
40137,44574
40139,21379
40141,7578
40143,639892
40145,76703
40147,51968
40149,11751
40151,9283
40153,21575
41001,15867
41003,88106
41005,399825
41007,37783
41009,49648
41011,62662
41013,21469
41015,22283
41017,174288
41019,107152
41021,1867
41023,7209
41025,7147
41027,22955
41029,211868
41031,22582
41033,84422
41035,65777
41037,7759
41039,361721
41041,47051
41043,120210
41045,30204
41047,329335
41049,11117
41051,790305
41053,78991
41055,1694
41057,25616
41059,76481
41061,25676
41063,6810
41065,25500
41067,572414
41069,1326
41071,101417
42001,101637
42003,1230052
42005,66638
42007,168526
42009,48789
42011,415261
42013,124818
42015,61539
42017,626209
42019,185891
42021,135854
42023,4765
42025,63758
42027,160553
42029,515226
42031,38821
42033,80651
42035,39367
42037,66688
42039,86701
42041,246244
42043,273176
42045,563705
42047,30788
42049,278111
42051,133290
42053,7357
42055,152903
42057,14621
42059,37336
42061,45640
42063,86867
42065,44240
42067,24376
42069,211781
42071,536534
42073,88317
42075,137540
42077,360505
42079,318013
42081,115580
42083,42247
42085,113746
42087,46427
42089,166835
42091,817869
42093,18262
42095,300466
42097,93020
42099,45881
42101,1570507
42103,55535
42105,17030
42107,143885
42109,40745
42111,75553
42113,6237
42115,41763
42117,41534
42119,45536
42121,52966
42123,40374
42125,207747
42127,51713
42129,356995
42131,27761
42133,441822
44001,49096
44003,163740
44005,83419
44007,633519
44009,126142
45001,24802
45003,165550
45005,9420
45007,193921
45009,14711
45011,21773
